EC:1 	 GO:0016491
EC:1.10.3.4 	 GO:0050149
EC:1.10.3.5 	 GO:0047561
EC:1.10.3.6 	 GO:0050264
EC:1.10.9 	 GO:0052880
EC:1.10.9.1 	 GO:0009496
EC:1.10.99.2 	 GO:0001512
EC:1.10.99.3 	 GO:0046422
EC:1.11 	 GO:0016684
EC:1.11.1.1 	 GO:0016692
EC:1.11.1.10 	 GO:0016691
EC:1.11.1.11 	 GO:0016688
EC:1.11.1.12 	 GO:0047066
EC:1.11.1.13 	 GO:0016689
EC:1.11.1.14 	 GO:0016690
EC:1.11.1.15 	 GO:0051920
EC:1.11.1.16 	 GO:0052750
EC:1.11.1.2 	 GO:0050137
EC:1.11.1.3 	 GO:0047888
EC:1.11.1.5 	 GO:0004130
EC:1.11.1.6 	 GO:0004096
EC:1.11.1.7 	 GO:0004601
EC:1.11.1.8 	 GO:0004447
EC:1.11.1.9 	 GO:0004602
EC:1.11.2.3 	 GO:1990137
EC:1.12 	 GO:0016695
EC:1.12.1 	 GO:0016696
EC:1.12.1.2 	 GO:0047985
EC:1.12.1.3 	 GO:0050583
EC:1.12.2 	 GO:0016697
EC:1.12.2.1 	 GO:0047806
EC:1.12.5 	 GO:0046994
EC:1.12.5.1 	 GO:0047067
EC:1.12.7 	 GO:0016699
EC:1.12.7.2 	 GO:0008901
EC:1.12.98 	 GO:0046995
EC:1.12.98.1 	 GO:0050454
EC:1.12.98.2 	 GO:0047068
EC:1.12.98.3 	 GO:0051911
EC:1.12.99.6 	 GO:0033748
EC:1.13 	 GO:0016701
EC:1.13.11 	 GO:0016702
EC:1.13.11.1 	 GO:0018576
EC:1.13.11.10 	 GO:0047069
EC:1.13.11.11 	 GO:0004833
EC:1.13.11.12 	 GO:0016165
EC:1.13.11.14 	 GO:0045133
EC:1.13.11.15 	 GO:0008687
EC:1.13.11.16 	 GO:0047070
EC:1.13.11.17 	 GO:0047719
EC:1.13.11.18 	 GO:0050313
EC:1.13.11.19 	 GO:0047800
EC:1.13.11.2 	 GO:0018577
EC:1.13.11.20 	 GO:0017172
EC:1.13.11.22 	 GO:0047762
EC:1.13.11.23 	 GO:0047528
EC:1.13.11.24 	 GO:0008127
EC:1.13.11.25 	 GO:0047071
EC:1.13.11.26 	 GO:0050169
EC:1.13.11.27 	 GO:0003868
EC:1.13.11.28 	 GO:0047072
EC:1.13.11.29 	 GO:0050297
EC:1.13.11.3 	 GO:0018578
EC:1.13.11.30 	 GO:0050298
EC:1.13.11.31 	 GO:0004052
EC:1.13.11.33 	 GO:0050473
EC:1.13.11.34 	 GO:0004051
EC:1.13.11.35 	 GO:0050240
EC:1.13.11.36 	 GO:0047744
EC:1.13.11.37 	 GO:0018581
EC:1.13.11.38 	 GO:0018582
EC:1.13.11.39 	 GO:0018583
EC:1.13.11.4 	 GO:0047922
EC:1.13.11.40 	 GO:0047677
EC:1.13.11.41 	 GO:0047073
EC:1.13.11.43 	 GO:0050054
EC:1.13.11.44 	 GO:0033751
EC:1.13.11.45 	 GO:0050584
EC:1.13.11.46 	 GO:0050585
EC:1.13.11.47 	 GO:0047078
EC:1.13.11.48 	 GO:0050586
EC:1.13.11.49 	 GO:0050587
EC:1.13.11.5 	 GO:0004411
EC:1.13.11.50 	 GO:0033752
EC:1.13.11.51 	 GO:0045549
EC:1.13.11.52 	 GO:0033754
EC:1.13.11.53 	 GO:0010308
EC:1.13.11.54 	 GO:0010309
EC:1.13.11.55 	 GO:0033755
EC:1.13.11.57 	 GO:0036238
EC:1.13.11.6 	 GO:0000334
EC:1.13.11.60 	 GO:0052878
EC:1.13.11.8 	 GO:0018579
EC:1.13.11.9 	 GO:0047075
EC:1.13.12 	 GO:0016703
EC:1.13.12.1 	 GO:0047678
EC:1.13.12.12 	 GO:0050588
EC:1.13.12.13 	 GO:0033756
EC:1.13.12.16 	 GO:0018580
EC:1.13.12.2 	 GO:0050067
EC:1.13.12.3 	 GO:0050361
EC:1.13.12.4 	 GO:0050040
EC:1.13.12.5 	 GO:0050248
EC:1.13.12.6 	 GO:0047712
EC:1.13.12.7 	 GO:0047077
EC:1.13.12.8 	 GO:0050397
EC:1.13.12.9 	 GO:0050172
